Archivo,VCE [V],IC [mA],K,|Δ|,Estable,GTmax [dB],rho_in,rho_out,Zin,Zout,Rin(s),Xin(s),Rout(s),Xout(s),Rin(p),Xin(p),Rout(p),Xout(p),Zo(Qwin),Zo(Qwout),W/H (Qwin),Zo'(Qwin),er'(Qwin),Weff (Qwin),W/H (Qwout),Zo'(Qwout),er'(Qwout),Weff (Qwout),W (Qwin),W (Qwout),lambda,lambda/4,lambda_p,lambda_p/4
BFP450_w_noise_VCE_3.0V_IC_30mA.s2p,3.0,30.0,1.107,0.564,True,14.06,(-0.7452+0.2645j),(-0.3725-0.2883j),(6.0141+8.4893j),(19.7779-14.6583j),6.0141,8.4893,19.7779,-14.6583,17.9973,12.7499,30.6418,-41.3439,29.9977,31.4467,4.1066,30.0851,3.5584,7.2592,3.8493,31.545,3.5378,6.8474,6.5706,6.1589,136.3636,34.0909,72.2888,18.0722
BFP450_w_noise_VCE_4.0V_IC_30mA.s2p,4.0,30.0,1.108,0.549,True,14.29,(-0.7455+0.2635j),(-0.3468-0.3103j),(6.0122+8.4569j),(20.5065-16.2449j),6.0122,8.4569,20.5065,-16.2449,17.9079,12.7311,33.3754,-42.131,29.9232,32.0207,4.1206,30.0101,3.5595,7.2815,3.754,32.1233,3.5299,6.695,6.593,6.0064,136.3636,34.0909,72.2777,18.0694
BFP450_w_noise_VCE_2.0V_IC_30mA.s2p,2.0,30.0,1.109,0.586,True,13.67,(-0.7417+0.2669j),(-0.4069-0.2486j),(6.0981+8.5961j),(18.9253-12.1809j),6.0981,8.5961,18.9253,-12.1809,18.2155,12.9221,26.7653,-41.5849,30.179,30.7614,4.073,30.2678,3.5558,7.2054,3.9679,30.8545,3.5474,7.0372,6.5168,6.3486,136.3636,34.0909,72.3153,18.0788
BFP450_w_noise_VCE_2.5V_IC_30mA.s2p,2.5,30.0,1.108,0.574,True,13.89,(-0.7437+0.2652j),(-0.3883-0.2705j),(6.0515+8.5262j),(19.3944-13.5231j),6.0515,8.5262,19.3944,-13.5231,18.0644,12.8213,28.8236,-41.3379,30.0536,31.1403,4.0962,30.1414,3.5576,7.2425,3.9016,31.2363,3.5421,6.9312,6.5539,6.2426,136.3636,34.0909,72.297,18.0742
BFP450_w_noise_VCE_2.5V_IC_40mA.s2p,2.5,40.0,1.108,0.602,True,13.96,(-0.7229+0.274j),(-0.3644-0.2352j),(6.6085+9.0039j),(21.1787-12.2722j),6.6085,9.0039,21.1787,-12.2722,18.8761,13.8543,28.2899,-48.8213,30.7214,32.5413,3.975,30.8142,3.548,7.0485,3.6707,32.6478,3.5228,6.5616,6.36,5.8731,136.3636,34.0909,72.3947,18.0987
BFP450_w_noise_VCE_2.0V_IC_40mA.s2p,2.0,40.0,1.11,0.613,True,13.74,(-0.7201+0.2759j),(-0.3828-0.2124j),(6.6776+9.0902j),(20.6495-10.8508j),6.6776,9.0902,20.6495,-10.8508,19.0521,13.9955,26.3513,-50.1476,30.8643,32.1321,3.9497,30.9582,3.546,7.0081,3.736,32.2355,3.5283,6.6661,6.3195,5.9776,136.3636,34.0909,72.4151,18.1038
BFP450_w_noise_VCE_4.0V_IC_40mA.s2p,4.0,40.0,1.107,0.579,True,14.36,(-0.725+0.2737j),(-0.3221-0.2746j),(6.5473+8.9709j),(22.5098-15.0621j),6.5473,8.9709,22.5098,-15.0621,18.8389,13.7494,32.5884,-48.7022,30.6911,33.5483,3.9803,30.7837,3.5484,7.0571,3.517,33.6623,3.5093,6.3157,6.3685,5.6272,136.3636,34.0909,72.3906,18.0977
BFP450_w_noise_VCE_3.0V_IC_40mA.s2p,3.0,40.0,1.107,0.593,True,14.13,(-0.7237+0.2743j),(-0.3485-0.252j),(6.5825+9.0036j),(21.652-13.3897j),6.5825,9.0036,21.652,-13.3897,18.8977,13.816,29.9323,-48.4024,30.739,32.9029,3.9718,30.832,3.5477,7.0435,3.6144,33.0121,3.5179,6.4715,6.3549,5.783,136.3636,34.0909,72.3978,18.0994
BFP450_w_noise_VCE_4.0V_IC_50mA.s2p,4.0,50.0,1.106,0.597,True,14.4,(-0.7127+0.2783j),(-0.3072-0.2514j),(6.8867+9.2436j),(23.7707-14.1853j),6.8867,9.2436,23.7707,-14.1853,19.2938,14.3744,32.2359,-54.0185,31.0595,34.4751,3.9156,31.1549,3.5432,6.9536,3.3838,34.5959,3.4973,6.1026,6.265,5.4141,136.3636,34.0909,72.4437,18.1109
BFP450_w_noise_VCE_3.0V_IC_50mA.s2p,3.0,50.0,1.107,0.61,True,14.17,(-0.711+0.2792j),(-0.3333-0.2287j),(6.9315+9.2887j),(22.8565-12.4985j),6.9315,9.2887,22.8565,-12.4985,19.379,14.4612,29.691,-54.2971,31.128,33.8057,3.9038,31.2239,3.5423,6.9346,3.4792,33.9216,3.506,6.2553,6.2461,5.5667,136.3636,34.0909,72.4529,18.1132
