Cin,QWIn,Cout,QWOut,Lch,Cdec,z0_lin
50.00 Ω,25.93 Ω,50.00 Ω,30.84 Ω,100.00 Ω,30.00 Ω,50.00 Ω
4.5,4.5,4.5,4.5,4.5,4.5,4.5
3.394,3.694,3.394,3.617,3.099,3.629,3.394
1.5438,0.8786,1.5438,1.0143,2.9258,0.9911,1.5438
5.5832,10.766,5.5832,9.0519,2.7916,9.3054,5.5832
3.121 mm,8.168 mm,3.121 mm,6.470 mm,0.716 mm,6.720 mm,3.121 mm
1.8799,4.9205,1.8799,3.8979,0.4315,4.0483,1.8799
50.23 Ω,25.99 Ω,50.23 Ω,30.93 Ω,99.73 Ω,30.09 Ω,50.23 Ω
3.1897 mm,8.2371 mm,3.1897 mm,6.5395 mm,0.7852 mm,6.7892 mm,3.1897 mm
18.5046 mm,17.7381 mm,18.5046 mm,17.9264 mm,19.3665 mm,17.8957 mm,18.5046 mm
