Archivo,VCE [V],IC [mA],K,|Δ|,Estable,GTmax [dB],rho_in,rho_out,Zin,Zout,Rin(s),Xin(s),Rout(s),Xout(s),Rin(p),Xin(p),Rout(p),Zo(Qwin),Zo(Qwout),Xout(p),W/H (Qwin),Zo'(Qwin),er'(Qwin),Weff (Qwin),W/H (Qwout),Zo'(Qwout),er'(Qwout),Weff (Qwout),W (Qwin),W (Qwout),lambda,lambda/4,lambda_p,lambda_p/4,Cin,Cout
BFP450_w_noise_VCE_1.0V_IC_5.0mA.s2p,1.0,5.0,0.898,0.276,False,,,,,,,,,,,,,,,,,,,,,,,,,,136.3636,34.0909,,,,
BFP450_w_noise_VCE_3.0V_IC_5.0mA.s2p,3.0,5.0,0.886,0.201,False,,,,,,,,,,,,,,,,,,,,,,,,,,136.3636,34.0909,,,,
BFP450_w_noise_VCE_4.0V_IC_5.0mA.s2p,4.0,5.0,0.877,0.181,False,,,,,,,,,,,,,,,,,,,,,,,,,,136.3636,34.0909,,,,
BFP450_w_noise_VCE_2.5V_IC_5.0mA.s2p,2.5,5.0,0.889,0.214,False,,,,,,,,,,,,,,,,,,,,,,,,,,136.3636,34.0909,,,,
BFP450_w_noise_VCE_2.0V_IC_5.0mA.s2p,2.0,5.0,0.893,0.229,False,,,,,,,,,,,,,,,,,,,,,,,,,,136.3636,34.0909,,,,
BFP450_w_noise_VCE_4.0V_IC_10mA.s2p,4.0,10.0,1.036,0.36,True,14.31,(-0.885+0.2283j),(-0.5195-0.5616j),(2.2833+6.332j),(7.9004-21.4009j),2.2833,6.332,7.9004,-21.4009,19.8431,7.1554,65.872,31.4985,19.8751,18.4581,3.8406,31.5972,3.5371,6.8334,6.995,19.8923,3.7316,11.8806,6.145,11.192,136.3636,34.0909,72.5062,18.1265,1.0110288167099186e-11,3.919317586905559e-12
BFP450_w_noise_VCE_2.5V_IC_10mA.s2p,2.5,10.0,1.041,0.39,True,13.83,(-0.8789+0.2314j),(-0.5615-0.5038j),(2.4275+6.4567j),(8.0016-18.714j),2.4275,6.4567,8.0016,-18.714,19.6011,7.3694,51.7696,31.3059,20.002,21.3786,3.8732,31.4031,3.5398,6.8857,6.9402,20.0199,3.7291,11.7928,6.1971,11.1043,136.3636,34.0909,72.4785,18.1196,9.81669551806952e-12,3.383905211326351e-12
BFP450_w_noise_VCE_2.0V_IC_10mA.s2p,2.0,10.0,1.042,0.404,True,13.62,(-0.8784+0.2326j),(-0.5846-0.4782j),(2.4321+6.4911j),(7.8411-17.4549j),2.4321,6.4911,7.8411,-17.4549,19.7564,7.4024,46.6971,31.4296,19.8004,22.4611,3.8522,31.5277,3.538,6.8521,7.0277,19.8171,3.7331,11.9328,6.1635,11.2443,136.3636,34.0909,72.4969,18.1242,9.772932555774009e-12,3.2208198151854325e-12
BFP450_w_noise_VCE_3.0V_IC_10mA.s2p,3.0,10.0,1.038,0.379,True,14.04,(-0.883+0.2289j),(-0.5473-0.5302j),(2.3337+6.3615j),(7.8392-19.8182j),2.3337,6.3615,7.8392,-19.8182,19.6747,7.2176,57.9414,31.3645,19.798,19.7778,3.8632,31.4622,3.5389,6.8697,7.0287,19.8147,3.7332,11.9345,6.1811,11.2459,136.3636,34.0909,72.4877,18.1219,1.0023159492194292e-11,3.657795910104335e-12
BFP450_w_noise_VCE_1.0V_IC_10mA.s2p,1.0,10.0,1.048,0.447,True,12.81,(-0.8708+0.2411j),(-0.6441-0.3832j),(2.5793+6.7762j),(7.6908-13.445j),2.5793,6.7762,7.6908,-13.445,20.3814,7.758,31.1953,31.9229,19.6097,28.601,3.77,32.0247,3.5312,6.7206,7.1121,19.6253,3.737,12.0679,6.032,11.3794,136.3636,34.0909,72.5667,18.1417,9.324974987221128e-12,2.529392537004354e-12
BFP450_w_noise_VCE_2.0V_IC_15mA.s2p,2.0,15.0,1.089,0.486,True,13.52,(-0.8122+0.2452j),(-0.4904-0.3656j),(4.1907+7.3318j),(13.2886-15.5244j),4.1907,7.3318,13.2886,-15.5244,17.018,9.7271,31.425,29.1702,25.7765,42.7989,4.2655,29.2514,3.5706,7.5133,5.0276,25.8328,3.6237,8.7327,6.8248,8.0442,136.3636,34.0909,72.1652,18.0413,7.43727893728465e-12,1.6903040954524885e-12
BFP450_w_noise_VCE_2.5V_IC_15mA.s2p,2.5,15.0,1.086,0.472,True,13.75,(-0.8153+0.2427j),(-0.473-0.392j),(4.1196+7.2347j),(13.3981-16.87j),4.1196,7.2347,13.3981,-16.87,16.8249,9.5805,34.6397,29.0043,25.8825,39.7098,4.2985,29.0843,3.573,7.5661,5.0007,25.9396,3.622,8.6897,6.8776,8.0011,136.3636,34.0909,72.141,18.0352,7.55108355000903e-12,1.8217960289616546e-12
BFP450_w_noise_VCE_3.0V_IC_15mA.s2p,3.0,15.0,1.083,0.462,True,13.93,(-0.8171+0.2426j),(-0.4572-0.4127j),(4.0687+7.2187j),(13.5288-17.9917j),4.0687,7.2187,13.5288,-17.9917,16.8761,9.512,37.4556,29.0484,26.0085,37.5975,4.2897,29.1287,3.5724,7.552,4.969,26.0665,3.6199,8.6389,6.8635,7.9504,136.3636,34.0909,72.147,18.0368,7.605462147903859e-12,1.9241480404511346e-12
BFP450_w_noise_VCE_1.0V_IC_15mA.s2p,1.0,15.0,1.091,0.526,True,12.77,(-0.8102+0.2539j),(-0.5528-0.289j),(4.1759+7.5976j),(12.245-11.5848j),4.1759,7.5976,12.245,-11.5848,17.9989,9.8928,23.2052,29.9991,24.7437,52.8495,4.1064,30.0865,3.5584,7.2588,5.3024,24.7927,3.6411,9.1725,6.5702,8.4838,136.3636,34.0909,72.2888,18.0722,7.312707822948156e-12,1.3688522304063711e-12
BFP450_w_noise_VCE_4.0V_IC_15mA.s2p,4.0,15.0,1.082,0.445,True,14.18,(-0.8182+0.2415j),(-0.4289-0.4394j),(4.0454+7.1776j),(13.938-19.6592j),4.0454,7.1776,13.938,-19.6592,16.7803,9.4576,41.6668,28.9658,26.3989,35.4491,4.3062,29.0455,3.5736,7.5784,4.8727,26.4597,3.6136,8.4849,6.8899,7.7963,136.3636,34.0909,72.1349,18.0337,7.649208673538902e-12,2.0407614283821455e-12
